“X•Ü–¼	ŽÔŽíA	ŽÔŽíB
dealer_1	51	82
dealer_2	63	78
dealer_3	63	80
dealer_4	90	76
dealer_5	48	82
dealer_6	72	86
dealer_7	48	80
dealer_8	69	86
dealer_9	87	80
dealer_10	87	77
dealer_11	84	82
dealer_12	75	80
dealer_13	78	74
dealer_14	81	86
dealer_15	57	70
dealer_16	87	80
dealer_17	75	84
dealer_18	57	82
dealer_19	48	76
dealer_20	57	82
dealer_21	69	74
dealer_22	81	78
dealer_23	54	78
dealer_24	90	74
dealer_25	78	82
dealer_26	66	80
dealer_27	66	80
dealer_28	72	89
dealer_29	78	78
dealer_30	69	84
